"customer_number","customer_key","full_name","age","age_bracket","customer_tier","total_orders","unique_products","total_items","total_revenue","last_purchase","months_since_last","tenure_months","avg_order_value","avg_monthly_spend"
AW00011000,1,Jon Yang,53,"50+",VIP,3,8,8,8249,2013-05-03,0,27,2749.67,305.52
AW00011001,2,Eugene Huang,49,"40s",VIP,3,10,11,6384,2013-12-10,5,34,2128.00,187.76
AW00011002,3,Ruben Torres,54,"50+",VIP,3,4,4,8114,2013-02-23,2,25,2704.67,324.56
AW00011003,4,Christy Zhu,51,"50+",VIP,3,9,9,8139,2013-05-10,0,28,2713.00,290.68
AW00011004,5,Elizabeth Johnson,45,"40s",VIP,3,6,6,8196,2013-05-01,0,27,2732.00,303.56
AW00011005,6,Julio Ruiz,48,"40s",VIP,3,6,6,8121,2013-05-02,0,28,2707.00,290.04
AW00011006,7,Janet Alvarez,48,"40s",VIP,3,5,5,8119,2013-05-14,11,27,2706.33,300.70
AW00011007,8,Marco Mehta,55,"50+",VIP,3,8,8,8211,2013-03-19,1,26,2737.00,315.81
AW00011008,9,Rob Verhoff,49,"40s",VIP,3,7,7,8106,2013-03-02,2,25,2702.00,324.24
AW00011009,10,Shannon Carlson,55,"50+",VIP,3,5,5,8091,2013-05-09,0,27,2697.00,299.67
AW00011010,11,Jacquelyn Suarez,55,"50+",VIP,3,4,4,8088,2013-05-23,11,28,2696.00,288.86
AW00011011,12,Curtis Lu,56,"50+",VIP,3,4,4,8133,2013-03-19,1,26,2711.00,312.81
AW00011012,13,Lauren Walker,46,"40s",New comer,2,5,5,81,2013-10-15,6,6,40.50,13.50
AW00011013,14,Ian Jenkins,45,"40s",New comer,2,5,5,114,2014-01-21,3,9,57.00,12.67
AW00011014,15,Sydney Bennett,51,"50+",New comer,2,5,6,138,2013-04-30,0,1,69.00,138.00
AW00011015,16,Chloe Young,40,"40s",New comer,1,3,3,2501,2013-01-18,3,0,2501.00,0
AW00011016,17,Wyatt Hill,40,"40s",New comer,1,3,3,2332,2013-02-09,3,0,2332.00,0
AW00011017,18,Shannon Wang,75,"50+",VIP,3,4,4,6434,2013-10-14,6,33,2144.67,194.97
AW00011018,19,Clarence Rai,69,"50+",VIP,3,7,7,6533,2013-10-24,6,33,2177.67,197.97
AW00011019,20,Luke Lal,41,"40s",New comer,17,20,33,880,2014-01-12,4,11,51.76,80.00
AW00011020,21,Jordan King,41,"40s",New comer,1,2,2,2317,2012-12-29,4,0,2317.00,0
AW00011021,22,Destiny Wilson,41,"40s",New comer,1,3,3,2372,2013-01-23,3,0,2372.00,0
AW00011022,23,Ethan Zhang,41,"40s",New comer,1,2,2,2322,2013-01-20,3,0,2322.00,0
AW00011023,24,Seth Edwards,41,"40s",New comer,2,6,6,122,2014-01-14,3,10,61.00,12.20
AW00011024,25,Russell Xie,41,"40s",New comer,2,5,6,56,2013-07-26,9,0,28.00,0
AW00011025,26,Alejandro Beck,73,"50+",VIP,3,6,6,6577,2013-10-25,6,33,2192.33,199.30
AW00011026,27,Harold Sai,73,"50+",VIP,3,7,7,6575,2013-10-15,6,32,2191.67,205.47
AW00011027,28,Jessie Zhao,72,"50+",VIP,3,9,9,6591,2013-10-24,6,33,2197.00,199.73
AW00011028,29,Jill Jimenez,73,"50+",VIP,3,5,5,6474,2013-10-07,7,32,2158.00,202.31
AW00011029,30,Jimmy Moreno,72,"50+",VIP,3,7,7,6565,2013-11-11,6,33,2188.33,198.94
AW00011030,31,Bethany Yuan,67,"50+",VIP,3,4,4,6471,2013-11-09,6,33,2157.00,196.09
AW00011031,32,Theresa Ramos,72,"50+",VIP,3,6,6,6478,2013-11-13,5,33,2159.33,196.30
AW00011032,33,Denise Stone,72,"50+",VIP,3,10,10,6525,2013-11-08,6,32,2175.00,203.91
AW00011033,34,Jaime Nath,66,"50+",VIP,3,7,7,6495,2013-11-05,6,32,2165.00,202.97
AW00011034,35,Ebony Gonzalez,72,"50+",VIP,3,4,4,6491,2013-11-10,6,33,2163.67,196.70
AW00011035,36,Wendy Dominguez,71,"50+",VIP,3,5,5,6451,2013-11-15,5,33,2150.33,195.48
AW00011036,37,Jennifer Russell,40,"40s",New comer,1,2,2,2355,2013-01-22,3,0,2355.00,0
AW00011037,38,Chloe Garcia,41,"40s",New comer,1,7,7,2374,2013-01-20,3,0,2374.00,0
AW00011038,39,Diana Hernandez,71,"50+",VIP,3,3,3,6437,2013-11-12,6,33,2145.67,195.06
AW00011039,40,Marc Martin,70,"50+",VIP,3,8,9,6636,2013-11-11,6,33,2212.00,201.09
AW00011040,41,Jesse Murphy,42,"40s",New comer,1,3,3,2351,2013-04-03,1,0,2351.00,0
AW00011041,42,Amanda Carter,42,"40s",New comer,1,3,3,2381,2013-01-14,3,0,2381.00,0
AW00011042,43,Megan Sanchez,42,"40s",New comer,2,3,3,3112,2013-10-17,6,8,1556.00,389.00
AW00011043,44,Nathan Simmons,43,"40s",New comer,2,3,3,48,2013-08-18,8,3,24.00,16.00
AW00011044,45,Adam Flores,70,"50+",VIP,3,7,7,6515,2013-11-08,6,32,2171.67,203.59
AW00011045,46,Leonard Nara,69,"50+",New comer,2,4,4,115,2013-10-29,6,6,57.50,19.17
AW00011046,47,Christine Yuan,69,"50+",VIP,3,6,6,6616,2013-11-12,6,33,2205.33,200.48
AW00011047,48,Jaclyn Lu,69,"50+",VIP,3,4,4,6582,2013-11-19,5,33,2194.00,199.45
AW00011048,49,Jeremy Powell,68,"50+",VIP,3,8,8,6498,2013-12-25,4,34,2166.00,191.12
AW00011049,50,Carol Rai,39,"30s",New comer,2,5,5,81,2013-10-29,6,7,40.50,11.57
AW00011050,51,Alan Zheng,68,"50+",VIP,3,6,6,5007,2013-11-19,5,32,1669.00,156.47
AW00011051,52,Daniel Johnson,68,"50+",New comer,2,5,5,124,2014-01-01,4,0,62.00,0
AW00011052,53,Heidi Lopez,68,"50+",VIP,3,7,7,8131,2013-05-27,11,27,2710.33,301.15
AW00011053,54,Ana Price,39,"30s",New comer,1,2,2,2330,2013-01-17,3,0,2330.00,0
AW00011054,55,Deanna Munoz,67,"50+",VIP,3,6,6,8223,2013-05-30,11,27,2741.00,304.56
AW00011055,56,Gilbert Raje,67,"50+",VIP,3,8,8,8168,2013-06-07,11,28,2722.67,291.71
AW00011056,57,Michele Nath,66,"50+",VIP,3,8,8,8207,2013-05-31,11,27,2735.67,303.96
AW00011057,58,Carl Andersen,55,"50+",VIP,3,4,4,8088,2013-05-21,11,26,2696.00,311.08
AW00011058,59,Marc Diaz,60,"50+",VIP,3,6,6,8248,2013-06-04,11,26,2749.33,317.23
AW00011059,60,Ashlee Andersen,65,"50+",New comer,3,6,7,117,2013-03-16,1,0,39.00,0
AW00011060,61,Jon Zhou,65,"50+",VIP,3,6,6,8153,2013-06-25,10,27,2717.67,301.96
AW00011061,62,Todd Gao,49,"40s",VIP,3,6,6,8129,2013-06-14,10,27,2709.67,301.07
AW00011062,63,Noah Powell,44,"40s",New comer,1,3,3,2352,2013-01-07,4,0,2352.00,0
AW00011063,64,Angela Murphy,44,"40s",New comer,1,5,5,2373,2013-01-12,4,0,2373.00,0
AW00011064,65,Chase Reed,43,"40s",New comer,1,2,2,2305,2013-01-25,3,0,2305.00,0
AW00011065,66,Jessica Henderson,46,"40s",New comer,2,4,5,202,2014-01-10,4,11,101.00,18.36
